start time 0:hr:min:sec	end time 0:hr:min:sec	Annotations	Layer	Index
0:0:0:50	0:0:0:56	young woman at a library table writing	overview	users
0:0:1:02	0:0:1:15	elderly women at information desk helping patrons	overview	staff
